t,log_t,vth_average
4.023162591029802e-08,-17.00406025587786,0.9346145871437221
4.278068629038223e-08,-16.944073069086432,0.9352129126155003
4.5487337080203155e-08,-16.884085882295004,0.9358187544458845
4.836132098237978e-08,-16.824098695503576,0.9364320478508708
5.1412983022061254e-08,-16.764111508712148,0.9370527280464548
5.465330778427718e-08,-16.70412432192072,0.9376807302486325
5.8093958953410456e-08,-16.64413713512929,0.9383159896733997
6.174732129711682e-08,-16.58414994833786,0.9389584415367523
6.562654524581238e-08,-16.524162761546435,0.9396080210546861
6.974559422819996e-08,-16.464175574755004,0.940264663443197
7.411929493321065e-08,-16.40418838796358,0.9409283039182808
7.87633906792941e-08,-16.344201201172147,0.9415988776959334
8.369459808314698e-08,-16.284214014380723,0.9422763199921504
8.893066723187773e-08,-16.22422682758929,0.9429605660229282
9.449044557518244e-08,-16.164239640797863,0.9436515510042623
1.0039394576753092e-07,-16.104252454006435,0.9443492101521486
1.0666241770455115e-07,-16.044265267215007,0.9450534786825828
1.1331842501291694e-07,-15.984278080423579,0.945764291811561
1.2038592626906489e-07,-15.92429089363215,0.9464815847550788
1.2789036123909152e-07,-15.864303706840722,0.9472052927291323
1.3585874245025422e-07,-15.804316520049294,0.9479353509497174
1.443197524236921e-07,-15.744329333257866,0.9486716946328296
1.5330384691835916e-07,-15.684342146466438,0.9494142589944651
1.6284336455780129e-07,-15.62435495967501,0.9501629792506194
1.729726432343832e-07,-15.564367772883582,0.9509177906172888
1.837281437099667e-07,-15.504380586092154,0.9516786283104688
1.9514858085794658e-07,-15.444393399300726,0.9524454275461554
2.0727506301905525e-07,-15.384406212509298,0.9532181235403444
2.2015123997255287e-07,-15.32441902571787,0.9539966515090317
2.338234600554318e-07,-15.264431838926441,0.954780946668213
2.483409369951924e-07,-15.204444652135013,0.9555709442338846
2.6375592705671147e-07,-15.144457465343585,0.9563665794220417
2.801239171408515e-07,-15.084470278552157,0.9571677874486806
2.9750382451187854e-07,-15.024483091760729,0.957974503529797
3.1595820887261794e-07,-14.964495904969299,0.9587866628813868
3.355534975507162e-07,-14.90450871817787,0.959604200719446
3.5636022460658593e-07,-14.844521531386443,0.96042705225997
