n,vth_average,t
0,0.914897017,0
1,1.012520527,0.00001
2,1.030124494,0.00002
4,1.05378628,0.00004
8,1.073704925,0.00008
16,1.099085556,0.00016
32,1.115273693,0.00032
64,1.133667696,0.00064
128,1.154637867,0.00128
256,1.179418192,0.00256
512,1.203418595,0.00512
1024,1.229663111,0.01024
2048,1.258494466,0.02048
4096,1.283866951,0.04096
8192,1.311605173,0.08192
16384,1.33228895,0.16384
32768,1.352482487,0.32768
65536,1.377292168,0.65536
131072,1.400386922,1.31072
262144,1.420643701,2.62144
524288,1.437549217,5.24288
1048576,1.45620928,10.48576
2097152,1.467349149,20.97152
4194304,1.479276059,41.94304
8388608,1.481954929,83.88608
16777216,1.488090293,167.77216
33554432,1.492970627,335.54432
67108864,1.495160984,671.08864
100000000,1.489898533,1000
125892541,1.494168895,1258.92541
158489319,1.495557791,1584.89319
199526232,1.490034599,1995.26232
251188643,1.492292004,2511.88643
316227766,1.49278747,3162.27766
398107171,1.486304568,3981.07171
501187234,1.487586811,5011.87234
630957344,1.487291581,6309.57344
794328235,1.486546638,7943.28235
1000000000,1.488080533,10000
