n,vth_average,t
0,0.894262868,0
1,1.020264027,0.00001
2,1.035927639,0.00002
4,1.061456343,0.00004
8,1.091112611,0.00008
16,1.112085817,0.00016
32,1.13391818,0.00032
64,1.150728427,0.00064
128,1.171445384,0.00128
256,1.194118913,0.00256
512,1.218438776,0.00512
1024,1.235453388,0.01024
2048,1.257921588,0.02048
4096,1.283135106,0.04096
8192,1.299271285,0.08192
16384,1.323781143,0.16384
32768,1.344519273,0.32768
65536,1.361451857,0.65536
131072,1.380521838,1.31072
262144,1.396457314,2.62144
524288,1.41190723,5.24288
1048576,1.429576231,10.48576
2097152,1.440563704,20.97152
4194304,1.451648477,41.94304
8388608,1.456524372,83.88608
16777216,1.463854014,167.77216
33554432,1.464258408,335.54432
67108864,1.47429249,671.08864
100000000,1.471891649,1000
125892541,1.471053314,1258.92541
158489319,1.47298838,1584.89319
199526232,1.473450768,1995.26232
251188643,1.476527968,2511.88643
316227766,1.477522363,3162.27766
398107171,1.47544314,3981.07171
501187234,1.472765594,5011.87234
630957344,1.481194403,6309.57344
794328235,1.479563945,7943.28235
1000000000,1.479810828,10000
