n,vth_average,t
0,0.897815885,0
1,1.026271503,0.00001
2,1.048362284,0.00002
4,1.071285124,0.00004
8,1.100968707,0.00008
16,1.123730688,0.00016
32,1.141961163,0.00032
64,1.158543039,0.00064
128,1.183769862,0.00128
256,1.20142728,0.00256
512,1.221689386,0.00512
1024,1.246545153,0.01024
2048,1.267369918,0.02048
4096,1.294843031,0.04096
8192,1.316227546,0.08192
16384,1.335844917,0.16384
32768,1.353570804,0.32768
65536,1.378966463,0.65536
131072,1.398589978,1.31072
262144,1.414389908,2.62144
524288,1.427069498,5.24288
1048576,1.446973469,10.48576
2097152,1.461065824,20.97152
4194304,1.4705723,41.94304
8388608,1.481304324,83.88608
16777216,1.482851786,167.77216
33554432,1.490373514,335.54432
67108864,1.492505831,671.08864
100000000,1.492867649,1000
125892541,1.491370267,1258.92541
158489319,1.493623621,1584.89319
199526232,1.495703362,1995.26232
251188643,1.496053818,2511.88643
316227766,1.496847111,3162.27766
398107171,1.49457482,3981.07171
501187234,1.495364931,5011.87234
630957344,1.496765488,6309.57344
794328235,1.492444569,7943.28235
1000000000,1.495991419,10000
